iso3,year,value,indicator description,indicator code
SEN,2000,4.27377159706648,WDI-calculated corruption score share of 148,CC.EST calculated
SLE,2000,2.262407203286669,WDI-calculated corruption score share of 148,CC.EST calculated
SOM,2000,0.7129459579174946,WDI-calculated corruption score share of 148,CC.EST calculated
SSD,2000,,WDI-calculated corruption score share of 148,CC.EST calculated
STP,2000,5.653847334921319,WDI-calculated corruption score share of 148,CC.EST calculated
SWZ,2000,4.428731474987903,WDI-calculated corruption score share of 148,CC.EST calculated
SYC,2000,6.425005904500756,WDI-calculated corruption score share of 148,CC.EST calculated
TCD,2000,0.4201802240723237,WDI-calculated corruption score share of 148,CC.EST calculated
TGO,2000,2.215125242135265,WDI-calculated corruption score share of 148,CC.EST calculated
TUN,2000,3.333123541212348,WDI-calculated corruption score share of 148,CC.EST calculated
TZA,2000,2.0300757170587036,WDI-calculated corruption score share of 148,CC.EST calculated
UGA,2000,1.3498044778873237,WDI-calculated corruption score share of 148,CC.EST calculated
ZAF,2000,6.293400528869354,WDI-calculated corruption score share of 148,CC.EST calculated
ZMB,2000,2.007285887574352,WDI-calculated corruption score share of 148,CC.EST calculated
ZWE,2000,1.0394792142128653,WDI-calculated corruption score share of 148,CC.EST calculated
AGO,2002,1.0290895644466165,WDI-calculated corruption score share of 148,CC.EST calculated
BDI,2002,2.2037373356431744,WDI-calculated corruption score share of 148,CC.EST calculated
BEN,2002,2.0973966777501993,WDI-calculated corruption score share of 148,CC.EST calculated
BFA,2002,4.817376257611676,WDI-calculated corruption score share of 148,CC.EST calculated
BWA,2002,6.31455755951385,WDI-calculated corruption score share of 148,CC.EST calculated
CAF,2002,1.5507084323690397,WDI-calculated corruption score share of 148,CC.EST calculated
CIV,2002,2.0801121572732635,WDI-calculated corruption score share of 148,CC.EST calculated
CMR,2002,0.8698771511016247,WDI-calculated corruption score share of 148,CC.EST calculated
COD,2002,0.1546915115411493,WDI-calculated corruption score share of 148,CC.EST calculated
COG,2002,1.4640189367835894,WDI-calculated corruption score share of 148,CC.EST calculated
COM,2002,2.4565113905233478,WDI-calculated corruption score share of 148,CC.EST calculated
CPV,2002,5.932709050265927,WDI-calculated corruption score share of 148,CC.EST calculated
DJI,2002,2.5942707584859197,WDI-calculated corruption score share of 148,CC.EST calculated
DZA,2002,1.7023448308919724,WDI-calculated corruption score share of 148,CC.EST calculated
EGY,2002,3.1531433510242275,WDI-calculated corruption score share of 148,CC.EST calculated
ERI,2002,4.832551649260077,WDI-calculated corruption score share of 148,CC.EST calculated
ETH,2002,2.328412388328001,WDI-calculated corruption score share of 148,CC.EST calculated
