economy,Year,Value,Indicator,IndicatorID
COD,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COG,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COM,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CPV,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DJI,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DZA,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
EGY,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ERI,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ETH,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GAB,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GHA,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GIN,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GMB,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNB,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNQ,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
KEN,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBR,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBY,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LSO,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MAR,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MDG,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MLI,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MOZ,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MRT,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MUS,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MWI,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NAM,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NER,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NGA,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
RWA,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SDN,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SEN,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SLE,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SOM,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SSD,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
STP,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SWZ,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SYC,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TCD,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TGO,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TUN,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TZA,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
