year,value,iso3,indicator description,indicator code
2021,108036336.89415985,MMR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,25310432.92437024,MMR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,2385.7858752,NAM,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,12582538.552787663,NLD,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,2860418788.1981034,NLD,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,13435532.464146022,NZL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,17365131.112686038,NZL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,12588391.608391609,NZL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,2335763.4101234856,NIC,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,339084.3910178179,NER,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,NER,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,MKD,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,OMN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,199917172.93410057,PAK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,69263638.72085978,PAK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,63869939.36576367,PAK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2019,1413600000.0,PAN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
