economy,year,value,indicator description,indicator code
COD,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COG,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COM,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CPV,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
DJI,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
DZA,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
EGY,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ERI,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ETH,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GAB,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GHA,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GIN,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GMB,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNB,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNQ,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
KEN,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBR,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBY,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LSO,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MAR,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MDG,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MLI,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MOZ,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MRT,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MUS,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MWI,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NAM,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NER,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NGA,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
RWA,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SDN,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SEN,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SLE,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SOM,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SSD,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
STP,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SWZ,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SYC,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TCD,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TGO,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TUN,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TZA,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
UGA,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZAF,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZMB,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZWE,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
AGO,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BDI,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BEN,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BFA,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BWA,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CAF,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CIV,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CMR,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COD,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COG,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COM,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CPV,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
DJI,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
DZA,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
EGY,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ERI,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ETH,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GAB,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GHA,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GIN,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GMB,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNB,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNQ,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
KEN,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBR,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBY,1965,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
