country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,cthi_2019_score,cthi_2021_score,cthi_2019_rank,cthi_2021_rank,cthi_2019_share,cthi_2021_share,sotj20_loss_corp_musd,sotj21_loss_corp_musd,sotj23_loss_corp_musd,sotj20_loss_total_share_healthexpenses,sotj21_loss_total_share_healthexpenses,sotj23_loss_total_musd,sotj23_loss_total_share_healthexpenses
France,FRA,312.3447133,190.9599,241.9387,404.1754,350.5328628,342.947734941308,55.70168938760952,66.9323299190448,22,18,0.0138322031887184,0.0205145082518795,14351.950376901292,0.033993602747784,27718.9045497179,0.0861236420021981,0.1892697459538638,33024.64722549915,0.1432523456208229
Faroe Islands,FRO,,,,,,,,,,,,,0.0,,0.0,,,1.690727353096008,0.0086079767080793
Micronesia,FSM,,,,,,,,,,,,,0.0,,0.0,0.0248791221015376,0.0362006039155312,0.4893393218517303,0.0367341800585831
Gabon,GAB,,,,,,,,,,,,,132.8138911876984,0.000227400009096,26.70000106096268,0.5589163116251028,0.9144160343650998,47.23937827348709,0.1741092175103581
United Kingdom,GBR,516.4732436,361.325,380.2413,423.76,534.6489772,546.906403786103,63.45288689009524,69.20465603076573,13,13,0.0281148206504278,0.031229582185366,10269.7224045978,0.026546989720558,16698.14979046583,0.1871618037271018,0.2334344520785705,44684.20057171583,0.1975736971433002
Georgia,GEO,,,,,,,,,,,,,68.40000273599999,0.000025050001002,16.05,0.188262199439235,0.0755562405297098,20.79117946624756,0.0420918393068257
Guernsey,GGY,402.3383479,419.3564,339.3795,658.9188,564.5566629,610.370358389219,97.5,98.33333333333334,15,17,0.0234500247155289,0.021554701596078,37.523130689738366,0.0,0.0,,,410.8500671386719,
Ghana,GHA,146.8078402,109.9242,139.184,68.85175,54.46927623,166.974162606216,49.4922624477238,51.68688641021549,60,61,0.001483782771667,0.0015413013775186,85.03105675029506,0.00008425,48.5,0.1572415010628255,0.1882622074335112,114.9710922241211,0.1241197217753201
Gibraltar,GIB,174.6427276,147.8179,109.3385,107.4421,359.894185,109.672786965682,65.59183673457143,66.35446263299708,28,30,0.0104812938979759,0.0078741692462694,0.0,0.0,0.0,,,226.0912780761719,2.087545813040021
Guinea,GIN,,,,,,,,,,,,,0.3097622390409063,0.000031149999466,4.55,0.0623636990206217,0.6598611686505329,7.900061655044555,0.1030785065363715
Guadeloupe,GLP,,,,,,,,,,,,,0.0,,0.0,,,0.0,
Gambia,GMB,,,,34.51403,37.71817321,20.9445083691393,47.99141730737144,49.79974966034336,63,69,0.0002420278338325,0.000286459004493,196.230001266,0.000033480000216,16.12,13.26017980739076,2.162974545386769,18.18115651130676,1.149728791166719
Guinea-Bissau,GNB,,,,,,,,,,,,,15.680000112,0.000003500000025,0.0,2.294526117808664,0.6266004733531727,1.622946381568909,0.1682973315949409
Equatorial Guinea,GNQ,,,,,,,,,,,,,0.0,0.000039549999322,5.949999999999999,0.0478365070313819,0.5231939551814405,9.928250980377197,0.1272698201331094
Greece,GRC,,,37.23742,118.5833,91.6458191,103.197623112826,39.057105727238095,46.49980721430329,61,57,0.0014085104424222,0.0021026767338654,353.785574126455,0.0007809699784559,633.0699817836284,0.1177309049295534,0.1659288288345209,1526.988682955503,0.1797183663334521
Grenada,GRD,57.60750966,55.7658,42.17658,44.60537,34.5581084,35.8128087724807,,,,,,,0.0,,0.6,0.1241837110443741,0.1380973265665031,3.249727582931519,0.163388439349446
Greenland,GRL,,,,,,,,,,,,,0.0,,8.586,,,11.52605608558655,0.0612330668820874
Guatemala,GTM,174.8035251,142.4216,177.1868,123.6272,162.1515523,265.185704271828,,,,,,,31.61524378486256,0.00013025,93.75,0.025203239293725,0.1066999343070453,114.891263961792,0.0762408711077215
French Guiana,GUF,,,,,,,,,,,,,0.0,,0.0,,,0.0,
Guam,GUM,,,,,,31.8871036558588,,,,,,,0.0,0.000043049999262,19.32,,,19.32417441921309,0.0518017058448322
Guyana,GUY,,,,,,,,,,,,,285.7236342802483,,0.0,3.080777632575679,0.0124481418659127,1.723265171051025,0.0098001581876151
Hong Kong,HKG,1370.740769,1283.445,1259.422,1243.678,1035.294758,926.77899139798,73.02777880761906,77.92385409646192,10,7,0.0361291886975284,0.0407771568453471,552.0266140339991,0.000207405008799,228.0300090610981,,,1213.427653104067,0.0544574188404534
Heard Island and McDonald Islands,HMD,,,,,,,,,,,,,0.0,,,,,,
Honduras,HND,,,,,,,,,,,,,319.4998413112141,0.00027875,168.25,0.4361627609644113,0.4547291645801779,196.3926525115967,0.2875151489592466
Croatia,HRV,,,,119.3637,112.3301275,101.912386926766,54.5339824084762,55.7140599182483,48,53,0.0033433208366475,0.0029646903101231,11.85304628591192,0.000163800002457,85.14000338315965,0.0093288084617647,0.0567810868708464,102.4350358843804,0.0289360696454364
Haiti,HTI,,,,,,,,,,,,,80.39999999999999,0.000005399999999999998,0.0,1.159461028306028,0.0681627237029057,3.358110189437866,0.022138609426587
Hungary,HUN,94.79689408,54.65056,37.31525,132.7332,151.5159647,155.985361320584,69.09811341209523,71.95281590469355,20,24,0.0147684216624075,0.0135254483487693,350.9750689630762,0.001541430068508,321.1200127601624,0.0603114419791036,0.2391104015178206,377.1345047950745,0.0507323810974655
Indonesia,IDN,,,,188.7874,143.8350776,170.240689326121,,,,,,,4785.952836383658,0.00221625,2736.5,0.4291969986717555,0.1981118561436813,2806.311920166016,0.1901462441358767
Isle of Man,IMN,230.4174787,237.258,228.5974,248.6847,258.344155,189.533907585028,100,100,17,20,0.0211746167128356,0.0192023259584119,0.0,0.0,0.0,,,240.1716003417969,0.5204207943410132
India,IND,344.0421554,254.5711,148.0025,316.6198,238.6822839,318.366687317518,,,,,,,10117.52929204268,0.016609800664392,31520.39331436157,0.4470075834330314,0.7861850465286099,31703.62816238403,1.227821952042035
British Indian Ocean Territory,IOT,,,,,,,,,,,,,0.0,,,,,,
Ireland,IRL,264.2156913,155.5173,187.4491,387.941,363.7959507,357.174772650659,75.66642894933332,77.07945533892205,11,11,0.0358926798298095,0.0329596344645817,199.1210369214739,0.000080875,613.0,0.7300657064138677,0.7106823170417098,13589.8603515625,0.6881438323446143
Iran,IRN,,,,,,,,,,,,,0.0,,17.5,0.0006341300991284,0.000505346282313,26.46349334716797,0.0020056240082579
Iraq,IRQ,,,,,,,,,,,,,0.1101238896080208,0.000052050002082,48.75,0.0025302202292247,0.0248695723472533,54.39707899093628,0.0121052471152143
Iceland,ISL,,,67.11217,139.6926,129.3088059,45.848661724847,,,,,,,17.21997616810572,0.000045800000687,122.6000018268823,0.0409918068800065,0.0528598685552962,156.7501254230738,0.0855496737550691
Israel,ISR,230.2969209,205.9219,173.7764,313.5544,291.4915508,335.856649395178,,,,,,,1429.9436373438111,0.000512879989315,363.8600066006183,0.1567284189219246,0.0842447520886852,1130.049154549837,0.0616783803432955
Italy,ITA,231.1939797,118.9649,98.65669,254.1414,287.7961653,393.350377781294,50.54590117028572,57.61148897689016,30,27,0.00794807497176,0.0100073186025778,8804.628006265606,0.00211823995587,1534.33502048254,0.0900220401420696,0.0488445317889419,4771.25494235754,0.0356129821114713
